SN,NAME,LONGITUDE,LATITUDE,COUNTRY_SN,PROVINCE_SN,DISTRICT_SN
300,Khách Sạn Sài Gòn Zoom,106.69089499999995,10.765031,1,1,2
301,Khách Sạn An Tâm 2,106.70331299999998,10.771583,1,1,2
302,Khách Sạn Bloom 3,106.6972869,10.7716423,1,1,2
303,Khách Sạn Freedom,106.69217500000002,10.768001,1,1,2
304,Khách Sạn Du Lịch Điện Lực 2,106.70437820000006,10.77761,1,1,2
305,Khách Sạn Ava Sài Gòn 2,106.6948936,10.7649206,1,1,2
306,Khách Sạn Ngọc Diễm,106.69328799999994,10.767211,1,1,2
307,Khách Sạn Lucky Star Sài Gòn,106.68920309999999,10.7719721,1,1,2
308,Khách sạn Đa Lộc,106.70068200000003,10.81314,1,1,7
309,Khách sạn Đa Lộc,106.70068200000003,10.81314,1,1,7
310,Khách sạn Huynh Đệ,106.7139535,10.8112099,1,1,7
311,Khách Sạn Công Đoàn Thanh Đa,106.71904110000003,10.8166994,1,1,7
312,Khách sạn Minh Đức,106.68631200000004,10.7990955,1,1,9
313,MAI VILLA  - MAI HẠNH,105.77906,21.054272,1,2,37
314,Goconnect Homestay Hotel,106.67713500000002,10.803846,1,1,9
315,Khách sạn Hoa Phượng Đỏ,106.67147499999999,10.794787,1,1,9
316,Khách sạn Hồng Loan 1,106.68370890000006,10.800879,1,1,9
317,khách sạn hồng loan 4,106.68246099999999,10.802167,1,1,9
318,khách sạn hồng loan 2,106.68988300000001,10.7971623,1,1,9
319,Khách sạn Thiên Hà,106.6862936,10.7991035,1,1,9
320,Khách sạn Yến Trang,106.69158140000002,10.7973994,1,1,9
321,Khách sạn Hoàng Đạt,106.68993350000005,10.7971376,1,1,9
322,Khách Sạn Linh Đan,106.68897200000004,10.796669,1,1,9
323,Khách sạn Hoa Đông Dương,106.67707599999994,10.799543,1,1,9
324,Khách sạn Pink Sunbeam,106.65860499999997,10.845071,1,1,6
325,Đại Nghĩa Hotel,106.68587300000002,10.820544,1,1,6
326,Khách sạn Eden,106.66544010000007,10.8352031,1,1,6
327,Khách sạn Lan Anh,106.65664590000006,10.8491037,1,1,6
328,Khách sạn Hoàng Yến Nhi,106.6399245,10.8381481,1,1,6
329,Khách Sạn Hồng Tươi,106.68577700000003,10.822027,1,1,6
330,Khách sạn Romance,106.67341269999997,10.7338411,1,1,22
331,Khách sạn Bảo Tiên,106.69176919999995,10.7358473,1,1,22
332,Khách Sạn Nam Phương Hoàng Hậu,106.59385380000003,10.687392,1,1,22
333,Khách sạn Hòa Thịnh,106.63476700000001,10.8058451,1,1,8
334,Khách sạn Cửu Kim Sơn,106.66671700000006,10.794731,1,1,1
335,Khách sạn Minh Lợi,106.63876200000004,10.803302,1,1,1
336,Khách sạn Thanh Phương,106.65897399999994,10.799689,1,1,1
337,khách sạn Hoàng Gia,106.63713669999993,10.805034,1,1,1
338,Khách sạn Hoa Hồng,106.641886,10.802635,1,1,1
339,Khách sạn Hoàng Vân,106.64039209999999,10.793303,1,1,1
340,Khách Sạn Hoàng Thiên Lộc,106.64773639999999,10.8050199,1,1,1
341,Khách sạn Khách Sạn Việt Đình,106.66411700000003,10.80632,1,1,1
342,Khách sạn Xuân Huê,106.66229699999997,10.7948093,1,1,1
343,Khách sạn Thịnh Văn,106.6371325,10.8050399,1,1,1
344,Khách Sạn Trà Vinh,106.65139999999997,10.796124,1,1,1
345,Khách Sạn Đăng Phi,106.66246999999998,10.7975038,1,1,1
346,Khách Sạn Phước Thanh,106.64170760000002,10.794104,1,1,1
347,Khách Sạn Navi - Etown,106.65947699999992,10.80116,1,1,1
348,Khách Sạn Võ Thanh Bình,106.65059589999998,10.8019909,1,1,1
349,Khách sạn Hồng Luân,106.63857189999999,10.802433,1,1,1
350,Khách Sạn Thiên Vũ,106.66580499999998,10.794618,1,1,1
351,Khách sạn Đinh Quỳnh Giang,106.65906100000007,10.796303,1,1,1
352,Khách Sạn Bình Hưng,106.65670580000005,10.7994281,1,1,1
353,Khách Sạn Mi Linh,106.66837299999997,10.815232,1,1,1
354,Khách Sạn Thái Hoàng,106.66140799999994,10.801247,1,1,1
355,Namu Hotel Saigon,106.67316200000005,10.799501,1,1,9
356,Thanh An Hotel,106.6463172,10.8706309,1,1,3
357,Khách sạn Xuân Thu,106.62635290000003,10.8524985,1,1,3
358,EVA HOTEL,106.68816420000007,10.7502896,1,1,17
359,ABC HOTEL,106.7533806,10.7823776,1,1,10
360,Khách sạn Cường Thanh,106.67085029999998,10.771178,1,1,12
361,LINH GIANG HOSTEL,106.671691,10.7738374,1,1,12
362,Khách sạn Ngọc Hà,106.67174,10.7739951,1,1,12
363,Khách sạn Minh Hải,106.67199290000008,10.7710425,1,1,12
364,ANH KHOA 1 HOTEL,106.73005220000005,10.7981065,1,1,10
365,Khách sạn Minh Phát,106.67048610000006,10.770205,1,1,12
366,Khách sạn Nha Đam,106.67173890000004,10.7739925,1,1,12
367,NHẬT VÂN 1,106.67166509999993,10.7708892,1,1,12
368,Khách sạn Phương Thanh,106.67199290000008,10.7710425,1,1,12
369,Khách sạn Thái An,106.67173530000002,10.773375,1,1,12
370,Khách Sạn Sài Gòn Vàng,106.67258779999997,10.7712479,1,1,12
371,Khách sạn Hoa Thủy Tiên 1,106.67283139999995,10.7711031,1,1,12
372,Khách sạn Hoàng Long,106.67173000000003,10.782828,1,1,12
373,khách sạn Hoa Thuỷ Tiên 2,106.6719769,10.7753564,1,1,12
374,Khách sạn Trang Thư 2,106.67281700000001,10.7711271,1,1,12
375,Lucky Star Homestay,106.6719895,10.776116,1,1,12
376,Khách Sạn Hoàng Tây 1,106.66446530000007,10.7755144,1,1,12
377,Khách Sạn Nhật Minh 1,106.65542310000001,10.7917866,1,1,12
378,Khách Sạn Nhật Minh 2,106.67197829999998,10.7753522,1,1,12
379,Khách Sạn Yến Nhi,106.66674599999999,10.768414,1,1,12
380,Khách sạn Duy Khoa,106.65441299999998,10.733652,1,1,17
381,Khách Sạn Thành Long,106.68896300000006,10.74635,1,1,17
382,Khách Sạn Thanh Nguyên 2,106.6632323,10.7343582,1,1,17
383,Khách sạn Queen Bee,106.70942590000004,10.7338314,1,1,19
384,Khách sạn Viễn Đông 6,106.7076773,10.729629,1,1,19
385,Khách Sạn De Paris,106.69807279999998,10.7414644,1,1,19
386,Khách Sạn Trung Sơn,106.7076773,10.729629,1,1,19
387,Khách Sạn Phương Anh,106.7077524,10.7323992,1,1,19
388,Khách sạn Meowy Boutique,106.67636500000003,10.788353,1,1,11
389,Khách sạn LeBlanc Saigon,106.6849896,10.7732279,1,1,11
390,Khách sạn Sài Gòn Sky,106.69253600000002,10.787156,1,1,11
391,Khách Sạn Hồng Giao,106.67618019999998,10.7691557,1,1,11
392,Khách Sạn Hương Mai,106.67908690000002,10.78064,1,1,11
393,Khách Sạn Đại Hoàng Hà,106.69010200000002,10.774634,1,1,11
394,Khách Sạn Toàn Cầu,106.67794779999997,10.7715774,1,1,11
395,Khách sạn Thiên Tuế,106.73244780000005,10.8090365,1,1,10
396,Khách sạn Xuân Đan,106.69089200000008,10.764,1,1,2
397,Khách Sạn Ava Saigon,106.69655650000004,10.7742593,1,1,2
398,Khách sạn Seventy,106.69350800000007,10.767337,1,1,2
399,Khách Sạn N.Y. Kim Phương,106.70496600000001,10.776894,1,1,2
400,Khách Sạn Ánh Trăng,106.74281700000006,10.870928,1,1,4
401,Khách Sạn Cao Danh,106.74542300000007,10.848626,1,1,4
402,Gia Phu Hotel,106.75926070000003,10.8646577,1,1,4
403,ESALEN HOTEL,105.78609470000004,21.0355494,1,2,38
404,Khách sạn Skygon Sài Gòn,106.70820149999997,10.7623017,1,1,14
405,khách sạn Hoa Hồng,106.75540560000002,10.8551846,1,1,4
406,khach sạn Thiên Ý,106.58068320000007,10.8124813,1,1,22
407,Khách Sạn Hoàng Kim,106.59465939999995,10.6982046,1,1,22
408,Thanh Ngoc Hotel,106.69176919999995,10.7358473,1,1,22
409,Phuc Loi Loc Hotel,106.65620060000003,10.735093,1,1,17
410,Khách Sạn Thanh Nguyên 1,106.678087,10.7353162,1,1,17
411,Khách sạn Gold Lion,106.68387189999999,10.743916,1,1,17
412,Khách sạn Hoàng Cúc,106.68701499999997,10.749159,1,1,17
413,Khách sạn Chez Pham Homestay,106.688221,10.746117,1,1,17
414,Khách sạn Thái Hân,106.65620060000003,10.735093,1,1,17
415,Khách sạn Lại Trần,106.71368299999995,10.8038969,1,1,7
416,Khách sạn Đồi Chè,106.71611110000003,10.8065273,1,1,7
417,Khách sạn Hoàn Vũ 2,106.69201529999998,10.7970036,1,1,7
418,Khách Sạn Cát Tường,106.72262739999996,10.8415707,1,1,4
419,Khách sạn Nam Phú,106.76452599999993,10.856284,1,1,4
420,Khách sạn Hảo Tín,106.69314559999998,10.7718106,1,1,2
421,Khách sạn Hồng Sâm,106.76373450000006,10.8606241,1,1,4
422,Khách Sạn Lan Lê,106.67395140000008,10.7359493,1,1,22
423,khách sạn Lê Lê,106.69422499999996,10.768818,1,1,2
424,Kim Khoi Hotel,106.69397800000002,10.768719,1,1,2
425,Ananas Family Hotel,106.67150400000003,10.795446,1,1,9
426,Hoàng Long Hotel (Thiên Hà cũ),106.6862936,10.7991035,1,1,9
427,khách sạn Hoàng Đạt,106.68993350000005,10.7971376,1,1,9
428,Nhật Vy Hotel,106.68603400000006,10.804398,1,1,9
429,Sao Ánh Mai Hotel,106.68989980000003,10.7982052,1,1,9
430,Honeymoon Hotel,106.67769659999999,10.8056934,1,1,9
431,Van Khang Hotel,106.67680280000002,10.806228,1,1,9
432,An Thai Hotel,106.69037490000005,10.7716433,1,1,2
433,Khách sạn Vy Hà,106.66873970000006,10.7702275,1,1,12
434,khách sạn Bliss,106.67116369999997,10.7727636,1,1,12
435,Khách sạn Trúc An,106.67085029999998,10.771178,1,1,12
436,Nguyen Khang Hotel,106.69134239999994,10.7678678,1,1,2
437,Khách Sạn Như Phương,106.67293389999998,10.7552517,1,1,15
438,Khách Sạn Kim Thanh - Điện Biên Phủ,106.67597419999993,10.7686077,1,1,11
439,Khách Sạn Nhạn Trắng,106.93840739999996,10.4012509,1,1,24
440,Khách Sạn Phúc Khánh,106.6984109,10.765288,1,1,2
441,Khách Sạn Minh Tiên,106.7157684,10.8031074,1,1,1
442,LUNA HOTEL,106.69234080000001,10.766648,1,1,2
443,Khách Sạn Đất Phù Sa,106.7412329,10.828833,1,1,7
444,Khách Sạn Mặt Trời Đỏ,106.69097349999993,10.7672435,1,1,2
445,Zoolut Stay,106.69572429999994,10.7717239,1,1,2
446,Khách Sạn Hoàng Kim,106.69168519999994,10.7375513,1,1,22
447,Khách Sạn Minh An Gò Vấp,106.67569449999996,10.8199605,1,1,6
448,MISMO HOTEL,106.678353,10.848822,1,1,6
449,Khách Sạn Hòn Én,106.6859892,10.8196827,1,1,6
450,Acacia Saigon (Brilliant cũ - Golden Wind),106.69280600000002,10.76799,1,1,2
451,Khách sạn Pink Sunbeam,106.65860499999997,10.845071,1,1,6
452,Khách Sạn 57,106.61284950000004,10.7347391,1,1,18
453,Khách sạn Ánh Sao,106.60670759999994,10.8136623,1,1,18
454,khách sạn Thai Binh 2 Saigon,106.68847099999994,10.767804,1,1,2
455,Saigon Odyssey 1,106.69450600000005,10.767777,1,1,2
456,MAI VILLA - MỸ ĐÌNH 1,105.76620879999996,21.0389831,1,2,45
457,Khách sạn Duyên Sài Gòn,106.69450099999995,10.786961,1,1,2
458,khách sạn Hạnh phúc,106.687546,10.7643,1,1,2
459,Khách sạn Mỹ Xuân,106.70921190000001,10.804029,1,1,7
460,Khách sạn Vườn Tao Đàn,106.68342310000003,10.7672595,1,1,2
461,Marie Line 2 (Vĩnh Chung cũ),106.69097349999993,10.7672435,1,1,2
462,Khách sạn Diệp Anh,106.67413199999999,10.815573,1,1,1
463,HÙNG MIAMI,106.6386287,10.8010814,1,1,1
464,MINH CHÂU 2 HOTEL,106.64216199999998,10.800544,1,1,1
465,MINH CHÂU 1 HOTEL,106.64167500000008,10.800793,1,1,1
466,NGỌC THÁI ANH,106.63916900000004,10.800376,1,1,1
467,test,106.6812808,10.7642837,1,1,15
468,MỸ LỘC HOTEL,106.68959500000005,10.7329852,1,1,22
469,ERATO BOUTIQUE,106.66790000000003,10.81311,1,1,1
470,MAI PHƯƠNG THẢO,106.61806109999998,10.838715,1,1,3
471,LAN ANH,106.65652780000005,10.8494695,1,1,6
472,CK SÀI GÒN CENTRAL HOTEL,106.69248500000003,10.767747,1,1,2
473,ELIOS HOTEL,106.69257800000003,10.768163,1,1,2
474,AN HOSTEL,106.69334400000002,10.767555,1,1,2
475,AN HỘI HOTEL,106.67201410000007,10.772357,1,1,12
476,CAMY HOTEL,107.0836505,10.3306234,1,50,121
477,MINH CHÂU HOTEL,106.6729358,10.7786355,1,1,2
478,CƯỜNG THANH 2,106.67026659999999,10.7722964,1,1,12
479,WIN HOTEL,106.6901056,10.7340004,1,1,22
480,khách sạn Châu Long 2,0.0,0.0,1,1,10
481,PARADISE HOTEL,106.69003520000001,10.7376213,1,1,22
482,SUNRISE HOTEL,106.690181,10.732466,1,1,22
483,ĐẠI BÌNH MINH HOTEL,106.72818099999995,10.737442,1,1,19
484,CƯỜNG THANH,106.67085029999998,10.771178,1,1,12
485,MINH NGỌC HOTEL,106.69038030000002,10.7366588,1,1,22
486,AMY HOTEL,106.68896270000005,10.7369584,1,1,22
487,LƯU LY MOTEL,105.8028249,21.0412702,1,2,38
488,Khách Sạn Indochina Queen 2,105.84823600000004,21.034875,1,2,42
489,Khách Sạn Hanoi Blue Moon,105.8521389,21.032247,1,2,42
490,Khách Sạn Little Hà Nội Diamond,105.84770900000001,21.0337927,1,2,42
491,Khách Sạn Bảo Khánh,105.85041790000002,21.0300838,1,2,42
